anchor_text,canonical_match,element,final_url,js_recovery,link_type,localized_rescue,reason,snippet,source_page,status,status_code,url
,False,,https://press.kwalee.com/kwalee-invests-15-million-in-french-mobile-game-developer-8sec-b2osxt,False,,False,HTTP 404,,,BROKEN,404,https://press.kwalee.com/kwalee-invests-15-million-in-french-mobile-game-developer-8sec-b2osxt
,False,,https://press.kwalee.com/joe-jonas-backs-green-mobile-game,False,,False,HTTP 404,,,BROKEN,404,https://press.kwalee.com/joe-jonas-backs-green-mobile-game
,False,,https://press.kwalee.com/kwalee-and-story-giant-games-unite-to-publish-text-express-word-adventure-a-mobile-journey-of-words-wonder-and-wisdom,False,,False,HTTP 404,,,BROKEN,404,https://press.kwalee.com/kwalee-and-story-giant-games-unite-to-publish-text-express-word-adventure-a-mobile-journey-of-words-wonder-and-wisdom
,False,,https://press.kwalee.com/kwalee-expands-rapidly-in-mena-and-launches-arabic-mobile-game-publishing-platform-hf8lk3,False,,False,HTTP 404,,,BROKEN,404,https://press.kwalee.com/kwalee-expands-rapidly-in-mena-and-launches-arabic-mobile-game-publishing-platform-hf8lk3
,False,,https://play.google.com/store/apps/details?id=com.tictales.designoflove,False,,False,HTTP 404,,,BROKEN,404,https://play.google.com/store/apps/details?id=com.tictales.designoflove
,False,,https://press.kwalee.com/backing-winners,False,,False,HTTP 404,,,BROKEN,404,https://press.kwalee.com/backing-winners
,False,,https://press.kwalee.com/kwalee-recruits-ex-sega-director-as-new-head-of-mobile-publishing,False,,False,HTTP 404,,,BROKEN,404,https://press.kwalee.com/kwalee-recruits-ex-sega-director-as-new-head-of-mobile-publishing
,False,,https://www.kwalee.com/blog/why-your-game-job-application-is-rejected,False,,False,HTTP 404,,,BROKEN,404,https://www.kwalee.com/blog/industry/why-your-game-job-application-is-rejected
,False,,https://www.kwalee.com/pc-and-console,False,,False,HTTP 404,,,BROKEN,404,https://www.kwalee.com/pc-and-console/
,False,,https://www.linkedin.com/company/madbox/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/company/madbox/
,False,,https://www.linkedin.com/in/maxime-demeure-74897886/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/in/maxime-demeure-74897886/
,False,,https://www.linkedin.com/in/jvernin/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/in/jvernin/
,False,,https://www.linkedin.com/company/kwalee-ltd/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/company/kwalee-ltd/
,False,,https://press.kwalee.com/kwalee-hits-1-billion-mobile-game-installs,False,,False,HTTP 404,,,BROKEN,404,https://press.kwalee.com/kwalee-hits-1-billion-mobile-game-installs
,False,,https://www.linkedin.com/in/hclang/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/in/hclang/
,False,,https://play.google.com/store/apps/details?id=com.kwalee.skiddycar,False,,False,HTTP 404,,,BROKEN,404,https://play.google.com/store/apps/details?id=com.kwalee.skiddycar
,False,,https://www.linkedin.com/in/jackngrichardson?originalSubdomain=uk,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/in/jackngrichardson?originalSubdomain=uk
,False,,https://www.linkedin.com/company/luna-from-unity/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/company/luna-from-unity/
,False,,https://www.linkedin.com/company/babblestock/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/company/babblestock/
,False,,https://www.linkedin.com/company/anzuio/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/company/anzuio/
,False,,https://play.google.com/store/apps/details?id=com.kwalee.zensort&pli=1,False,,False,HTTP 404,,,BROKEN,404,https://play.google.com/store/apps/details?id=com.kwalee.zensort&pli=1
,False,,https://www.linkedin.com/company/audiomob/,False,,False,HTTP 999,,,BROKEN,999,https://www.linkedin.com/company/audiomob/
